voiceID,startTime,endTime,avgTime,meanF0Hz,stdevF0Hz,HNR,localJitter,localabsoluteJitter,rapJitter,ppq5Jitter,ddpJitter,localShimmer,localdbShimmer,apq3Shimmer,apq5Shimmer,apq11Shimmer,ddaShimmer,meanPitch,maxPitch,minPitch,meanIntensity,maxIntensity,minIntensity
10-11,10,11,10.5,317.42906280046816,64.97437943834326,8.885104454224853,0.028639250996029802,9.308353648034328e-05,0.014305287552619683,0.01553785392609088,0.04291586265785905,0.13106543834948173,1.1999345224414737,0.05950368977675595,0.08107968399769676,0.13226947034463418,0.17851106933026786,258.3617011090453,433.369218858878,135.3449812388166,60.16720364686562,80.73886445777705,26.533611620229077
11-12,11,12,11.5,317.42906280046816,64.97437943834326,8.885104454224853,0.028639250996029802,9.308353648034328e-05,0.014305287552619683,0.01553785392609088,0.04291586265785905,0.13106543834948173,1.1999345224414737,0.05950368977675595,0.08107968399769676,0.13226947034463418,0.17851106933026786,258.3617011090453,433.369218858878,135.3449812388166,60.16720364686562,80.73886445777705,26.533611620229077
12-13,12,13,12.5,317.42906280046816,64.97437943834326,8.885104454224853,0.028639250996029802,9.308353648034328e-05,0.014305287552619683,0.01553785392609088,0.04291586265785905,0.13106543834948173,1.1999345224414737,0.05950368977675595,0.08107968399769676,0.13226947034463418,0.17851106933026786,258.3617011090453,433.369218858878,135.3449812388166,60.16720364686562,80.73886445777705,26.533611620229077
13-14,13,14,13.5,317.42906280046816,64.97437943834326,8.885104454224853,0.0286392509960298,9.308353648034328e-05,0.014305287552619683,0.01553785392609088,0.04291586265785905,0.13106543834948173,1.1999345224414737,0.05950368977675595,0.08107968399769674,0.13226947034463418,0.17851106933026786,258.3617011090454,433.369218858878,135.3449812388166,60.16720364686562,80.73886445777705,26.533611620229077
14-15,14,15,14.5,317.42906280046816,64.97437943834326,8.885104454224853,0.0286392509960298,9.308353648034328e-05,0.014305287552619683,0.01553785392609088,0.04291586265785905,0.13106543834948173,1.1999345224414737,0.05950368977675595,0.08107968399769674,0.13226947034463418,0.17851106933026786,258.3617011090454,433.369218858878,135.3449812388166,60.16720364686562,80.73886445777705,26.533611620229077
15-16,15,16,15.5,317.42906280046816,64.97437943834326,8.885104454224855,0.0286392509960298,9.308353648034328e-05,0.014305287552619683,0.01553785392609088,0.04291586265785905,0.13106543834948173,1.1999345224414737,0.05950368977675596,0.08107968399769674,0.13226947034463418,0.17851106933026786,258.3617011090454,433.369218858878,135.34498123881656,60.16720364686562,80.73886445777705,26.533611620229077
16-17,16,17,16.5,317.42906280046816,64.97437943834326,8.885104454224855,0.0286392509960298,9.308353648034328e-05,0.014305287552619683,0.01553785392609088,0.04291586265785905,0.13106543834948173,1.1999345224414737,0.05950368977675596,0.08107968399769674,0.13226947034463418,0.17851106933026786,258.3617011090454,433.369218858878,135.34498123881656,60.16720364686562,80.73886445777705,26.533611620229077
17-18,17,18,17.5,317.42906280046816,64.97437943834328,8.885104454224855,0.0286392509960298,9.308353648034328e-05,0.014305287552619683,0.01553785392609088,0.04291586265785905,0.13106543834948173,1.1999345224414737,0.05950368977675596,0.08107968399769674,0.13226947034463418,0.17851106933026784,258.3617011090454,433.369218858878,135.34498123881656,60.16720364686562,80.73886445777705,26.533611620229077
18-19,18,19,18.5,317.42906280046816,64.97437943834328,8.885104454224853,0.028639250996029802,9.308353648034328e-05,0.014305287552619683,0.01553785392609088,0.04291586265785904,0.13106543834948173,1.1999345224414737,0.05950368977675596,0.08107968399769674,0.13226947034463418,0.17851106933026784,258.3617011090454,433.369218858878,135.34498123881656,60.16720364686562,80.73886445777705,26.533611620229077
19-20,19,20,19.5,317.42906280046816,64.97437943834328,8.885104454224853,0.028639250996029802,9.308353648034328e-05,0.014305287552619683,0.01553785392609088,0.04291586265785904,0.13106543834948173,1.1999345224414737,0.05950368977675596,0.08107968399769674,0.13226947034463418,0.17851106933026784,258.3617011090454,433.369218858878,135.34498123881656,60.16720364686562,80.73886445777705,26.533611620229077
