voiceID,startTime,endTime,avgTime,meanF0Hz,stdevF0Hz,HNR,localJitter,localabsoluteJitter,rapJitter,ppq5Jitter,ddpJitter,localShimmer,localdbShimmer,apq3Shimmer,apq5Shimmer,apq11Shimmer,ddaShimmer,meanPitch,maxPitch,minPitch,meanIntensity,maxIntensity,minIntensity
165.58_165.858,165.58,165.858,165.719,264.19522563675673,10.410329506778082,14.204563516686797,0.01145310718457776,4.336562620918022e-05,0.006417195336679327,0.004554325276622371,0.019251586010037982,0.050857039351994635,0.4935271247089501,0.024547711730563086,0.02392431300049974,0.04049943333814021,0.07364313519168926,191.72544299020828,205.4373720042496,180.89426891188245,76.71816599728774,79.4592016102961,69.46885903518422
167.158_168.761,167.158,168.761,167.9595,325.65246816674033,63.17971970758858,9.371187449257167,0.0373650838716955,0.00011553268729118328,0.019589147009596648,0.02165704870585047,0.058767441028789946,0.1563359356340587,1.392985149390919,0.06513457194109448,0.09680729817199148,0.1337525050808796,0.19540371582328345,333.75878379638175,547.7584917667261,105.95075292625789,64.11718491403936,84.52045463583462,26.99959387178383
211.919_219.095,211.919,219.095,215.507,249.95612642499364,59.028867589016905,11.409648283102866,0.026262681508098202,0.00010514324090408164,0.013590742004538673,0.012740394890729543,0.04077222601361602,0.11624790629983069,1.0941326622717744,0.052503375291511466,0.05679421327841431,0.08945195780876378,0.1575101258745344,194.94939423295773,580.1391902021521,79.49912437418884,54.479574673839146,81.46371879027492,13.33544385369793
240.893_241.616,240.893,241.616,241.2545,276.2920466502578,3.7052215024359145,23.265932309740574,0.0038883964331847486,1.4074093080875154e-05,0.0020985393911967186,0.0020896583010985275,0.0062956181735901555,0.029849158663116788,0.31188001128799336,0.012616380194228165,0.017147501662779598,0.026333586185626524,0.037849140582684494,200.5369333716235,204.1902467364669,193.30122084846965,73.16760696264721,77.59809274216084,63.96274077259848
244.373_248.709,244.373,248.709,246.541,249.39342207020835,68.67651487588638,12.189258664051355,0.024482005416686152,9.854082650287705e-05,0.012289293758902772,0.012495819644513382,0.036867881276708314,0.11525405974313752,1.1061565886281592,0.047154234128942464,0.05440480826893355,0.09953798135937991,0.1414627023868274,178.57545779583702,256.97206149225053,78.99447377585408,61.558457732873165,78.70539203381864,25.79577081875876
269.851_270.57,269.851,270.57,270.2105,232.64718427652525,54.990526746036146,17.966448730548635,0.007707918530684042,3.315632553276628e-05,0.0035124832340696676,0.003210327172182491,0.010537449702209004,0.03504122575370431,0.5037147788502666,0.018438582088587414,0.02227287705720297,0.02948435526923863,0.055315746265762245,170.61455190634652,198.7417901330173,94.49434799212926,68.11314188104218,72.69815601006594,56.81806309404408
272.679_275.847,272.679,275.847,274.263,233.62160178138228,57.59617361544193,11.958020230520848,0.023418331753971514,0.0001014726892149005,0.011163385921980313,0.011909188244958622,0.03349015776594094,0.12387252355541425,1.1041747775037614,0.047599326906658815,0.05861160100273264,0.0991805378362946,0.14279798071997646,164.80112944384857,213.87982314761842,85.55391996467556,56.81617416668031,77.68153051110484,15.137982626097239
276.904_278.525,276.904,278.525,277.7145,227.33837321371414,95.28593037477818,5.246987661218778,0.04474924036403256,0.0002102480946776391,0.02225977300246175,0.0185030256628239,0.06677931900738525,0.16366768964602574,1.545652856498146,0.06709964031370527,0.08340645175003222,0.16372862619163608,0.20129892094111582,190.41342535422945,556.985894780943,82.99787198513683,57.978192228649455,75.52042438483832,23.162402301366583
279.846_281.663,279.846,281.663,280.7545,330.0430712794576,93.21724511960295,9.638248831121789,0.03959424979151859,0.0001225950639112574,0.015818913368683976,0.02115648190252796,0.04745674010605193,0.13713641139259258,1.1411343464821935,0.0377961523688646,0.04911514719345592,0.07468027284907836,0.11338845710659379,236.06139636523272,370.2676741513527,100.06553078529136,40.638010506517666,71.69617066718597,12.38357340604697
299.543_299.843,299.543,299.843,299.693,205.40293886133787,78.92116869204425,4.772766651222329,0.031181826310144867,0.00015323919200302475,0.01887058761266642,0.021693915917608313,0.056611762837999256,0.23617167888237223,2.192510967513587,0.06748814449093785,0.11339416355643597,nan,0.20246443347281354,212.0847405967782,574.6300592425782,87.96023276504478,59.88190869581759,73.27666347745306,35.62038889466994
