AGE,GENDER,CONDITION,ID,ID METRICS,RECALL,RECOGNITION,lesson,avg_RECALL,avg_RECOGNITION,apq11Shimmer,apq3Shimmer,apq5Shimmer,ddaShimmer,ddpJitter,HNR,localabsoluteJitter,localdbShimmer,localJitter,localShimmer,maxIntensity,maxPitch,meanF0Hz,meanIntensity,meanPitch,minIntensity,minPitch,ppq5Jitter,rapJitter,stdevF0Hz,type_of_feature
22,Female,2,Masha14,Masha14-Robot,44%,100%,frikandel,43%,100%,-0.311106521,-0.3810955941,-0.4761891876,-0.3810955941,-0.2545735021,-0.3475219051,-0.2661338683,-0.3280746363,-0.2648805716,-0.3960560515,-0.433313961,-0.355527711,-0.4421886951,-0.4002046121,-0.4508417047,-0.4204159506,-0.3997804489,-0.2517473921,-0.2545735021,-0.3527008045,proximity
29,Male,2,masha7,Masha7-Robot,48%,100%,frikandel,45%,94%,-0.3699269515,-0.4292272534,-0.5036261111,-0.4292272534,-0.3521824666,-0.3117161033,-0.3931409356,-0.3858270768,-0.4105618419,-0.3795184486,-0.6060829485,-0.3438984408,-0.6243421467,-0.3978608325,-0.3726731641,-0.4129696994,-0.3678051315,-0.3523173874,-0.3521824666,-0.3004298208,proximity
26,Female,1,sarah4,Sarah-4 Human,32%,83%,beer,,,-0.1503374374,0.3177660964,0.0701056121,0.3177660964,-0.02761897025,0.08756589573,-0.4066351842,0.09869390354,0.03430268137,0.18218987,0.5617578286,-0.2205855787,-0.02980838671,0.1919647385,-0.2873061306,0.3545483957,0.001363274335,0.01298046822,-0.02761897025,-0.06401162202,convergence
23,Female,2,Nash- Dec 11 16:30- Robot- Female,Nash- Dec 11 16_30- Robot- Female,41%,33%,beer,,,0.4095285814,0.1459305403,0.1420198178,0.1459305403,0.193055093,0.003950578099,0.1400526949,0.08793932349,0.05959662293,0.01283833365,0.4393436464,0.05596082793,-0.3202812009,0.04124981236,-0.1350919387,0.1405250632,0.01942215093,0.15632436,0.193055093,0.1304480309,convergence
22,Male,2,Nash- Dec 11 17:30- Robot- Male,Nash- Dec 11 17_30- Robot- Male,27%,67%,beer,,,0.1375155235,0.3596837802,0.147727264,0.3596837802,0.094752699,-0.236325577,-0.1743513724,0.6462822161,-0.2748751218,0.5980195851,0.3077426168,-0.3956872277,-0.1817135004,0.1912580204,-0.6311557772,0.07531963954,-0.6170109797,0.1451558642,0.094752699,-0.1901215513,convergence
49,Female,1,Nash5,Nash5- Human,14%,50%,beer,,,0.03369926959,0.3930554135,0.4837149195,0.3930554135,0.2276312476,-0.0420484912,0.1363572965,-0.006925252179,-0.004664955867,0.09564517665,0.443722867,-0.04501345333,-0.01603504128,-0.2054096192,-0.1948028133,-0.2431443294,-0.2473562629,0.1552114673,0.2276312476,-0.5125007971,convergence
30,Male,2,Masha12,Masha12-Robot,23%,100%,beer,,,-0.7922152334,0.603632851,0.5945415846,0.603632851,0.2207368783,-0.8453145732,-0.180692553,0.202227753,-0.0854450733,0.515418434,-0.7506851356,0.1569620918,-0.3834944348,-0.6226685108,-0.6931232927,-0.6660073365,-0.709350592,-0.2725182114,0.2207368783,0.1446524201,convergence
25,Female,2,Sarah5,Sarah-5 Furhat,23%,100%,beer,,,0.2795262586,0.2748348091,0.4690965843,0.2748348091,0.2281475256,0.3809234041,0.5683880598,0.3125605724,0.280452889,0.2390178016,0.004957296367,-0.3352158282,0.1161253934,0.4448661669,0.2028098614,0.0009994662456,-0.02438209456,0.1170072185,0.2281475256,0.2165348897,convergence
23,Female,1,Masha11,Masha11-Human,41%,100%,beer,,,0.1187270482,-0.07806253443,0.3486812948,-0.07806253443,-0.2312288134,0.3895166017,-0.1913720054,0.1952170433,-0.3145228565,0.07998072737,-0.5059494893,0.1440830471,-0.1053625241,0.1565688305,-0.01723611729,0.1339934321,0.3425254457,-0.1416224291,-0.2312288134,0.3753948285,convergence
24,Female,1,Sarah9,Sarah-9 Human,36%,100%,beer,,,0.2951830819,-0.0590894401,0.1317451485,-0.0590894401,0.1681123552,-0.06705856212,0.494503456,0.228117625,0.09700586584,0.1311246624,0.06791490472,-0.2963438968,0.1342108353,-0.2384154403,-0.1857465749,-0.1284783074,-0.3317448197,-0.2468140438,0.1681123552,-0.007081543634,convergence
