Experiment ID,feature,Proximity,Convergence,convergence_pvalue,p_corr(-15),p_corr(-15)_p_val,p_corr(-10),p_corr(-10)_p_val,p_corr(-5),p_corr(-5)_p_val,p_corr(0),p_corr(0)_p_val,p_corr(5),p_corr(5)_p_val,p_corr(10),p_corr(10)_p_val,p_corr(15),p_corr(15)_p_val
Dekel-5,localJitter,-0.5205412186,-0.07521682684,0.002066897111,0.1946741885,1.22E-15,0.2090035339,6.86E-18,0.2267060855,6.60E-21,0.2461660074,1.53E-24,0.2558549369,2.28E-26,0.2650552046,3.63E-28,0.2738169358,6.20E-30
Dekel-5,localabsoluteJitter,-0.5162200467,-0.1449730318,2.52E-09,0.08013886128,0.001083475433,0.08004713486,0.00107901609,0.083289864,0.000656653248,0.08834791304,0.0002944031669,0.08931038251,0.00025788765,0.09279214326,0.0001496387743,0.0974457001,6.99E-05
Dekel-5,rapJitter,-0.540695476,0.1454078558,2.25E-09,0.129278797,1.25E-07,0.1490554431,9.86E-10,0.1735995498,9.12E-13,0.1991117889,1.95E-16,0.209820865,4.53E-18,0.2222758878,4.39E-20,0.233050854,6.53E-22
Dekel-5,ppq5Jitter,-0.6748405531,0.3027973212,7.43E-37,0.1159865032,2.16E-06,0.1357770358,2.67E-08,0.1601244672,4.67E-11,0.1831866242,4.17E-14,0.1960789567,6.19E-16,0.2069920635,1.43E-17,0.2156657555,6.39E-19
Dekel-5,ddpJitter,-0.540695476,0.1454078558,2.25E-09,0.129278797,1.25E-07,0.1490554431,9.86E-10,0.1735995498,9.12E-13,0.1991117889,1.95E-16,0.209820865,4.53E-18,0.2222758878,4.39E-20,0.233050854,6.53E-22
Dekel-5,localShimmer,-0.6585444299,0.4337780742,8.36E-78,0.03640879005,0.1381325834,0.05116994817,0.03681955392,0.07314952995,0.002780006051,0.1002924164,3.92E-05,0.1257123527,2.55E-07,0.1510489222,5.85E-10,0.1776394388,3.10E-13
Dekel-5,localdbShimmer,-0.701385746,0.4849558425,1.58E-99,0.04304354094,0.07956447425,0.05888005029,0.01626802563,0.079225703,0.001194130005,0.1020889652,2.84E-05,0.1239264965,3.77E-07,0.1440648412,3.53E-09,0.1638894983,1.84E-11
Dekel-5,apq3Shimmer,-0.6373526181,0.3944738081,1.76E-63,-0.1617678376,3.36E-11,-0.1483741307,1.18E-09,-0.1321198432,6.00E-08,-0.1136154706,3.14E-06,-0.09692619333,7.27E-05,-0.07804980696,0.001436337907,-0.06084313547,0.01316155573
Dekel-5,apq5Shimmer,-0.5922448644,0.352388513,3.74E-50,0.1271304247,2.03E-07,0.135938759,2.57E-08,0.1455951285,2.27E-09,0.1521228407,3.91E-10,0.1630369271,2.05E-11,0.1763516873,4.25E-13,0.1901504661,5.59E-15
Dekel-5,apq11Shimmer,-0.4868563014,0.6383025635,2.41E-192,0.2038572668,4.96E-17,0.2048880982,3.07E-17,0.2103936056,3.66E-18,0.2114589516,2.19E-18,0.2146105215,7.50E-19,0.2136079148,1.23E-18,0.2128461316,1.85E-18
Dekel-5,ddaShimmer,-0.6373526181,0.3944738081,1.76E-63,-0.1617678376,3.36E-11,-0.1483741307,1.18E-09,-0.1321198432,6.00E-08,-0.1136154706,3.14E-06,-0.09692619333,7.27E-05,-0.07804980696,0.001436337907,-0.06084313547,0.01316155573
Dekel-5,meanPitch,-0.4982885683,-0.107722604,9.95E-06,-0.2292712556,3.07E-21,-0.2097917895,5.13E-18,-0.1857145165,2.01E-14,-0.1555260441,1.56E-10,-0.139640051,1.00E-08,-0.1242655944,3.65E-07,-0.1136908553,3.42E-06
Dekel-5,maxPitch,-0.5339555511,-0.02840261176,0.2453193235,0.08770171863,0.0003469719103,0.0595205696,0.01513921681,0.03313775992,0.1758789318,0.007572623321,0.7567921134,-0.009597316889,0.6951204317,-0.02739272247,0.2639455427,-0.04789735045,0.05104083648
Dekel-5,minPitch,-0.5849524931,0.02485171801,0.3093922571,0.08936982281,0.0002666051722,0.09110880995,0.0001971866921,0.09317421018,0.0001372515972,0.09859144545,5.30E-05,0.110672379,5.81E-06,0.1290546934,1.26E-07,0.1480218149,1.36E-09
Dekel-5,meanIntensity,-0.4537632319,-0.02811324561,0.2501634334,-0.3546405448,2.23E-50,-0.3440580324,1.80E-47,-0.327086688,6.16E-43,-0.3053023384,1.81E-37,-0.2600003877,3.32E-27,-0.1999874989,1.76E-16,-0.1389576475,1.31E-08
Dekel-5,maxIntensity,-0.7202471401,-0.006154450447,0.8012759813,-0.009990168054,0.6842034129,-0.00834711422,0.7335935556,-0.003857331388,0.8748391071,-0.001010914694,0.9670227792,0.005785482478,0.813236855,0.005530011869,0.8216049962,0.004908131669,0.841618968
Dekel-5,minIntensity,-0.5094122391,-0.6584170274,1.03E-208,0.1904098719,5.13E-15,0.1914529037,3.29E-15,0.1971029169,4.34E-16,0.2054693005,2.00E-17,0.2158317695,4.71E-19,0.2289438926,3.05E-21,0.2414895098,1.87E-23
Sarah-10 Furhat,meanF0Hz,-0.6313917877,-0.1446843416,1.96E-08,0.08855240566,0.0006539456848,0.08690009098,0.0008080663735,0.08589694628,0.0009105878922,0.08785621667,0.0006777191474,0.08582695225,0.0009194686229,0.08579786471,0.0009417727587,0.08999354455,0.0005324362306
Sarah-10 Furhat,stdevF0Hz,-0.482635126,-0.04339740485,0.09369254133,0.2724007102,1.47E-26,0.2712990385,1.96E-26,0.268904375,4.60E-26,0.2678134558,6.12E-26,0.266412798,1.35E-25,0.2649851535,2.99E-25,0.2640948313,5.24E-25
Sarah-10 Furhat,HNR,-0.5159672917,0.08103482744,0.001726373611,0.3519474748,2.43E-44,0.342863727,3.64E-42,0.331454724,1.74E-39,0.3179305642,2.04E-36,0.3132281106,3.13E-35,0.3068698795,1.05E-33,0.2876763368,1.47E-29
Sarah-10 Furhat,localJitter,-0.6024476167,-0.1019116531,7.99E-05,-0.1569220385,1.32E-09,-0.1682708095,6.98E-11,-0.178078558,4.55E-12,-0.1885311975,2.06E-13,-0.1949350063,3.30E-14,-0.2032096127,2.75E-15,-0.2100131013,3.40E-16
Sarah-10 Furhat,localabsoluteJitter,-0.5534909659,-0.1060631223,4.02E-05,-0.2819557501,2.06E-28,-0.2877160497,1.16E-29,-0.2933109766,6.57E-31,-0.2956592535,1.68E-31,-0.3021295593,8.82E-33,-0.3099625695,2.18E-34,-0.3173825806,6.07E-36
Sarah-10 Furhat,rapJitter,-0.5346583403,-0.1304732157,4.22E-07,0.06615512325,0.01096056716,0.05508388499,0.03391441083,0.04438140076,0.087007396,0.03329707714,0.1984930984,0.02336444522,0.367779904,0.01218858333,0.6390690662,0.001533461157,0.9530288025
Sarah-10 Furhat,ppq5Jitter,-0.547451185,0.03750136793,0.1475262949,-0.1419827403,4.21E-08,-0.1461270033,1.58E-08,-0.1491296121,7.46E-09,-0.1536708709,2.40E-09,-0.1523942958,3.46E-09,-0.1532368039,3.01E-09,-0.1522670293,4.02E-09
Sarah-10 Furhat,ddpJitter,-0.5346583403,-0.1304732157,4.22E-07,0.06615512325,0.01096056716,0.05508388499,0.03391441083,0.04438140076,0.087007396,0.03329707714,0.1984930984,0.02336444522,0.367779904,0.01218858333,0.6390690662,0.001533461157,0.9530288025
Sarah-10 Furhat,localShimmer,-0.4464849283,-0.0660502611,0.0106863891,-0.1309930957,4.34E-07,-0.1454050827,1.86E-08,-0.1575327089,9.97E-10,-0.1638767957,1.89E-10,-0.1682631796,6.50E-11,-0.1742583523,1.41E-11,-0.182250189,1.67E-12
Sarah-10 Furhat,localdbShimmer,-0.4914142895,0.0248384113,0.3375162344,-0.1534664208,3.03E-09,-0.1716337093,2.86E-11,-0.1865735286,4.02E-13,-0.19842125,1.01E-14,-0.2131847864,9.38E-17,-0.2279487379,6.22E-19,-0.2448926945,1.26E-21
Sarah-10 Furhat,apq3Shimmer,-0.4667757816,-0.1901370623,1.28E-13,0.107335689,3.55E-05,0.074011469,0.004349013021,0.04849495418,0.06145578363,0.02652675909,0.3056942111,0.01497534916,0.5637941881,0.002116746368,0.9350867059,-0.01004377495,0.6996347135
Sarah-10 Furhat,apq5Shimmer,-0.3963831867,0.1222343945,2.17E-06,0.04150645965,0.1107025307,0.02125271596,0.4134492419,0.0005648769234,0.9826301543,-0.01898413332,0.4635667258,-0.02798344222,0.2806972837,-0.03257125699,0.2099926842,-0.03874869648,0.1364917481
Sarah-10 Furhat,apq11Shimmer,-0.4938309289,0.3876059569,1.04E-54,-0.1875278349,3.65E-13,-0.1938583916,5.05E-14,-0.1994839096,8.05E-15,-0.20151925,3.82E-15,-0.2031299391,2.54E-15,-0.2130661541,1.10E-16,-0.2255166017,1.70E-18
Sarah-10 Furhat,ddaShimmer,-0.4667757816,-0.1901370623,1.28E-13,0.107335689,3.55E-05,0.074011469,0.004349013021,0.04849495418,0.06145578363,0.02652675909,0.3056942111,0.01497534916,0.5637941881,0.002116746368,0.9350867059,-0.01004377495,0.6996347135
Sarah-10 Furhat,meanPitch,-0.5779888407,-0.1791995392,3.06E-12,-0.1459459544,1.74E-08,-0.1475044398,1.15E-08,-0.1472621244,1.15E-08,-0.1558351352,1.42E-09,-0.1690227526,5.32E-11,-0.1822304402,1.54E-12,-0.1917841614,1.04E-13
Sarah-10 Furhat,maxPitch,-0.5886644643,-0.225369959,1.20E-18,-0.0768070596,0.003129767153,-0.06395589861,0.01376376582,-0.04855862537,0.06111531057,-0.03118140556,0.2285458441,-0.01113854547,0.6676923969,0.01008638355,0.6979373361,0.02090692417,0.4218767457
Sarah-10 Furhat,minPitch,-0.3448937143,-0.275743585,1.85E-27,-0.2575104682,8.16E-24,-0.2458205679,7.52E-22,-0.2294719513,3.12E-19,-0.2173494233,2.01E-17,-0.2134388115,8.61E-17,-0.2004073823,6.69E-15,-0.1864072486,5.06E-13
Sarah-10 Furhat,meanIntensity,-0.4335712746,-0.1604811345,4.48E-10,0.02798126394,0.2823597414,0.001661806589,0.9490165527,-0.02524477443,0.3304818035,-0.04875774041,0.05963126986,-0.0682102838,0.008487405672,-0.0932222645,0.000324680416,-0.125501469,1.30E-06
Sarah-10 Furhat,maxIntensity,-0.6118957258,-0.06436492092,0.01286387362,-0.1224671835,2.34E-06,-0.1068521425,3.74E-05,-0.09003267722,0.0005068317176,-0.07624312141,0.003200344547,-0.05825256845,0.02463430087,-0.04054257594,0.1186159959,-0.02499092437,0.3370012164
Sarah-10 Furhat,minIntensity,-0.6168098347,-0.4205918976,4.58E-65,-0.2686340881,7.55E-26,-0.2427035336,2.53E-21,-0.218021904,1.81E-17,-0.1981612878,1.10E-14,-0.1851541972,6.08E-13,-0.1745146337,1.32E-11,-0.1653297918,1.61E-10
Sarah-12 Furhat,meanF0Hz,-0.4299428212,-0.5278392995,9.34E-88,0.2063999196,5.79E-13,0.2120092692,1.16E-13,0.2177417775,2.13E-14,0.219612738,1.11E-14,0.2235163949,4.15E-15,0.2285917448,1.09E-15,0.2253725753,3.16E-15
Sarah-12 Furhat,stdevF0Hz,-0.5163407918,-0.04079863304,0.1561013292,-0.2431147677,1.55E-17,-0.2444370526,8.75E-18,-0.2439351225,8.77E-18,-0.2378858068,4.99E-17,-0.2333415326,2.30E-16,-0.2237499924,4.42E-15,-0.2131705631,9.54E-14
Sarah-12 Furhat,HNR,-0.6153330237,0.004285759028,0.8816112656,0.04140806029,0.1525617127,0.03516702715,0.2234792542,0.02571469978,0.3724689105,0.01603174689,0.5774422915,0.01677869543,0.5606494139,0.01953064239,0.4990910087,0.02901905086,0.3161918638
Sarah-12 Furhat,localJitter,-0.7020411808,0.2095388504,1.80E-13,-0.3741839626,5.16E-41,-0.3690266845,5.14E-40,-0.363779222,5.21E-39,-0.3599545916,2.52E-38,-0.3541582377,6.31E-37,-0.3526150784,1.87E-36,-0.3511376994,5.33E-36
Sarah-12 Furhat,localabsoluteJitter,-0.6495065649,0.09006313688,0.001712762194,-0.246113716,6.03E-18,-0.2361467769,1.14E-16,-0.2261642541,1.93E-15,-0.2202942875,9.16E-15,-0.2133659455,7.14E-14,-0.2132526595,8.29E-14,-0.217325248,3.06E-14
Sarah-12 Furhat,rapJitter,-0.6581130375,0.1325815243,3.70E-06,-0.4053230522,1.82E-48,-0.3973633162,1.14E-46,-0.3865654324,3.11E-44,-0.3754721162,8.36E-42,-0.3649322022,2.90E-39,-0.3584752958,1.06E-37,-0.3532668218,1.91E-36
Sarah-12 Furhat,ppq5Jitter,-0.7337665595,0.1646234295,8.42E-09,-0.5516281743,4.25E-96,-0.5354607755,5.45E-90,-0.5160521398,5.67E-83,-0.4961457549,3.47E-76,-0.4728163386,3.87E-68,-0.4487863989,1.59E-60,-0.4227608005,5.34E-53
Sarah-12 Furhat,ddpJitter,-0.6581130375,0.1325815243,3.70E-06,-0.4053230522,1.82E-48,-0.3973633162,1.14E-46,-0.3865654324,3.11E-44,-0.3754721162,8.36E-42,-0.3649322022,2.90E-39,-0.3584752958,1.06E-37,-0.3532668218,1.91E-36
Sarah-12 Furhat,localShimmer,-0.6341555139,-0.1300689864,5.65E-06,-0.1778541029,5.97E-10,-0.1910610751,2.50E-11,-0.2036270528,9.60E-13,-0.2159138537,3.14E-14,-0.2265570239,1.72E-15,-0.2361645329,1.13E-16,-0.2403490152,3.65E-17
Sarah-12 Furhat,localdbShimmer,-0.6300050478,-0.1936165238,1.10E-11,-0.1425777088,7.46E-07,-0.1736710082,1.40E-09,-0.2019576795,1.48E-12,-0.228508374,8.47E-16,-0.252639296,5.31E-19,-0.2729525951,6.04E-22,-0.2837579115,1.45E-23
Sarah-12 Furhat,apq3Shimmer,-0.539042393,-0.09665119097,0.0007614900692,-0.2306056368,6.89E-16,-0.2269649062,1.75E-15,-0.2214048132,7.58E-15,-0.2149521494,4.10E-14,-0.2091751248,2.22E-13,-0.2021884802,1.55E-12,-0.1928172172,1.80E-11
Sarah-12 Furhat,apq5Shimmer,-0.7278953351,0.1045396113,0.0002698535865,-0.2781362567,1.14E-22,-0.2967117928,8.18E-26,-0.3115761798,1.54E-28,-0.3258638826,2.50E-31,-0.3405666828,4.19E-34,-0.3529588563,1.59E-36,-0.3642373729,8.46E-39
Sarah-12 Furhat,apq11Shimmer,-0.3708856229,-0.1468909579,2.86E-07,0.05712794915,0.04833754208,0.05603437993,0.05230806218,0.05255029209,0.06821999433,0.04863330219,0.09084363765,0.04223566015,0.1428490837,0.03576960709,0.2156417531,0.03217228802,0.2664477365
Sarah-12 Furhat,ddaShimmer,-0.539042393,-0.09665119097,0.0007614900692,-0.2306056368,6.89E-16,-0.2269649062,1.75E-15,-0.2214048132,7.58E-15,-0.2149521494,4.10E-14,-0.2091751248,2.22E-13,-0.2021884802,1.55E-12,-0.1928172172,1.80E-11
Sarah-12 Furhat,meanPitch,-0.4760326701,-0.2442337681,6.83E-18,0.105785968,0.0002489407711,0.08302967477,0.00399944279,0.06363245026,0.0271867103,0.04635609272,0.1070274453,0.03155428663,0.2737431293,0.02007648335,0.4871712366,0.01203656616,0.6776522875
Sarah-12 Furhat,maxPitch,-0.6449613382,0.07213096368,0.01208146403,0.01035604314,0.7206197519,0.0167345855,0.5624950815,0.02579124046,0.3710470563,0.04184459913,0.1457524974,0.05682173311,0.04860899688,0.07242178571,0.01209208963,0.08931269018,0.001999028727
Sarah-12 Furhat,minPitch,-0.4175879421,0.3180202527,7.69E-30,0.2833949062,1.65E-23,0.2936942747,2.66E-25,0.3008435107,1.25E-26,0.3132363987,5.92E-29,0.331421874,2.78E-32,0.3460106298,4.44E-35,0.3550381919,8.07E-37
Sarah-12 Furhat,meanIntensity,-0.6034673424,0.4820707687,2.00E-71,-0.09751050063,0.0007372536074,-0.08103162664,0.004974007807,-0.06388139328,0.02658992967,-0.05048039265,0.07921357028,-0.03887288982,0.177495007,-0.02546811902,0.3780661615,-0.01056861639,0.7151323522
Sarah-12 Furhat,maxIntensity,-0.6028867489,0.1271409195,9.16E-06,-0.01561874731,0.5896186266,0.007860292151,0.7856151459,0.03286693305,0.2542707327,0.05422339792,0.05934865047,0.08687816721,0.002541216496,0.1151222591,6.41E-05,0.1382989371,1.60E-06
Sarah-12 Furhat,minIntensity,-0.3913619622,0.05263612493,0.06720106282,0.2319883789,4.58E-16,0.2512212507,9.96E-19,0.2602970729,4.11E-20,0.2707532427,8.97E-22,0.270282909,1.29E-21,0.2705597274,1.41E-21,0.2723337101,9.14E-22
Masha11-Human,meanF0Hz,-0.6983517138,-0.2635528499,4.11E-18,-0.1387855556,7.57E-06,-0.1395584553,6.39E-06,-0.139375597,6.25E-06,-0.1351696075,1.13E-05,-0.1343875799,1.33E-05,-0.1299771246,2.66E-05,-0.1279763435,3.70E-05
Masha11-Human,stdevF0Hz,-0.5303466899,0.3249887492,3.34E-27,0.09999717258,0.001290344101,0.06480299923,0.03684275142,0.03036123497,0.3272926784,-0.003952896661,0.8982959902,-0.04347816614,0.1605782738,-0.0676689093,0.02925525942,-0.08889620338,0.004245027836
Masha11-Human,HNR,-0.6597135283,0.1026421416,0.000875839456,-0.09484630171,0.002276396634,-0.07937628676,0.01051847336,-0.06041765606,0.05109733201,-0.03353888577,0.2780288421,0.002877685632,0.926042529,0.0352939755,0.2559208187,0.06416416162,0.03921872424
