Age,Gender,Condition,Experiment ID,feature,Proximity,Convergence,convergence_pvalue,p_corr(-15),p_corr(-15)_p_val,p_corr(-10),p_corr(-10)_p_val,p_corr(-5),p_corr(-5)_p_val,p_corr(0),p_corr(0)_p_val,p_corr(5),p_corr(5)_p_val,p_corr(10),p_corr(10)_p_val,p_corr(15),p_corr(15)_p_val
22,Female,2,Dekel-2 Furhat,meanPitch,-0.5949729604,-0.04778313424,0.08162902138,-0.18696132149999997,8.43e-12,-0.18115347699999998,3.4100000000000004e-11,-0.17421255440000002,1.7500000000000002e-10,-0.164756311,1.52e-09,-0.15374797140000002,1.88e-08,-0.1414300036,2.5e-07,-0.13152957880000002,1.72e-06
22,Female,2,Dekel-2 Furhat,maxPitch,-0.5308703358,-0.4156985302,1.1299999999999998e-56,-0.4191143346,4.85e-57,-0.41071135799999997,7.82e-55,-0.397176893,2.87e-51,-0.3810404725,3.57e-47,-0.36284228409999997,1.7999999999999998e-42,-0.3383984637,1.07e-36,-0.3164686003,5.95e-32
22,Female,2,Dekel-2 Furhat,minPitch,-0.4029548782,0.07823664295,0.004319379004,-0.152839193,2.58e-08,-0.16122847029999998,3.9e-09,-0.1694857998,5.43e-10,-0.1738531377,1.76e-10,-0.17498593969999998,1.4500000000000002e-10,-0.18014112219999998,4.39e-11,-0.18823384079999997,6.0499999999999995e-12
22,Female,2,Dekel-2 Furhat,meanIntensity,-0.4772327387,0.2671520853,3.74e-23,-0.13870654,4.47e-07,-0.1670209997,1.0400000000000001e-09,-0.18303565940000002,1.94e-11,-0.1904062432,2.58e-12,-0.1995217493,2.36e-13,-0.1995526451,2.59e-13,-0.1951134038,9.7e-13
22,Female,2,Dekel-2 Furhat,maxIntensity,-0.5561045393,0.3741993965,1.98e-45,-0.2169800958,1.82e-15,-0.18794323940000002,5.96e-12,-0.1626284757,2.6600000000000003e-09,-0.1390874675,3.5700000000000003e-07,-0.1106685297,5.45e-05,-0.08365895992000001,0.002359657965,-0.05513029882,0.04571194259
22,Female,2,Dekel-2 Furhat,minIntensity,-0.49751371240000003,-0.3513889596,6.5599999999999986e-40,0.1969350755,5.91e-13,0.1802895442,4.229999999999999e-11,0.16936807339999999,5.58e-10,0.1719998425,2.76e-10,0.1751460033,1.3899999999999999e-10,0.1783150656,6.93e-11,0.18595899510000002,1.0900000000000001e-11
27,Female,2,Sarah - 507 Furhat,meanF0Hz,-0.6218310029999999,0.3359985036,1.2399999999999998e-42,-0.03660499202,0.1496057543,-0.026933314410000003,0.2883470191,-0.01812430764,0.4742585447,-0.015588368730000001,0.5376180217000001,-0.01341226128,0.5964510438,-0.009508145694,0.7078337959000001,-0.004939263761,0.8458892449
27,Female,2,Sarah - 507 Furhat,stdevF0Hz,-0.7645317232,-0.036448629249999996,0.1493874138,-0.09543114375,0.0001672821426,-0.1015032505,6.04e-05,-0.1035773591,4.13e-05,-0.10023443859999999,7.09e-05,-0.08255667327999999,0.001095670898,-0.06515229642999999,0.010150068370000001,-0.046655332,0.06621969576
27,Female,2,Sarah - 507 Furhat,HNR,-0.6098679602,0.5228156075,1.4099999999999998e-110,0.05364241871,0.03465189541,0.0601631991,0.0176227571,0.06364623498,0.011897623020000001,0.07020978128,0.0054425242859999995,0.09396172289999999,0.0002010978269,0.123531104,1.02e-06,0.1474261865,5.44e-09
27,Female,2,Sarah - 507 Furhat,localJitter,-0.6645144177000001,0.046644591,0.06498173291,0.1159167932,4.72e-06,0.1059273667,2.8300000000000003e-05,0.09459651161,0.00018193624219999997,0.08444913524,0.0008222614621000001,0.08710236398,0.0005707156102000001,0.09016668743999999,0.000369265809,0.09112011709,0.0003267127535
